Country,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Afghanistan,12,10.59,11.67,10.17,14.4,12.73,6.93,2.95,6.3,5.49,6.98,5.58,8.99,,
Albania,9.37,9.76,9.71,9.85,8.46,8.46,8.37,8.88,9.04,9.67,9.18,7.76,7.19,7.25,7.08
Algeria,9.9,9.95,9.99,9.37,9.65,9.01,8.07,8.14,7.8,8.19,8.48,8.5,8.37,8.54,8.79
Andorra,27.92,22.32,18.88,19.31,24.04,25.1,24.04,22.85,19.38,19.5,22.7,21.98,19.99,19.24,19.08
Angola,5,7.42,5.57,5.58,5.43,6.36,6.46,6.42,9.56,6.08,6.25,4.61,3.38,5.77,2.86
Antigua and Barbuda,18.08,16.29,17.16,15.18,16.36,11.38,12.27,10.81,10.07,12.08,10.69,11.89,9.88,10.75,11.42
Argentina,6.92,7.72,8.74,11.82,14.07,17.13,15.79,15.37,16.35,16.67,16.92,17.27,18.23,17.14,17.59
Armenia,7.04,7.27,7.44,7.4,6.97,6.72,7,10.42,11.33,10.23,8.02,7.88,7.03,7.66,5.26
Australia,17.31,17.31,17.31,17.65,17.11,16.78,17.21,17.48,17.13,16.95,16.95,16.32,16.46,15.7,16
Austria,16.27,16.33,16.3,16.18,15.91,16.09,16.21,16,15.75,15.67,14.49,15.07,15.01,14.63,14.51
Azerbaijan,3.88,3.5,3.81,3.66,4.22,4.54,3.07,4.57,4.27,5.15,5.92,4.8,5.15,5.57,5.35
Bahamas,14.76,13.45,15.13,16.3,17.63,17.65,18.19,16.8,17.14,14.74,15.56,15.24,15.05,13.79,14.79
Bahrain,10.47,10.58,9.35,8.67,9.08,10.72,9.78,9.35,8.81,8.65,8.71,8.54,8.11,8.94,10.23
Bangladesh,5.66,5.55,6.92,7.46,8.27,7.82,6.9,8.56,8.56,7.86,8.8,8.02,8.61,7.97,8.1
Barbados,10.92,10.7,10.69,10.12,9.71,10.98,10.54,9.97,10.16,9.22,10.29,10.01,10.14,10.2,9.86
Belarus,13.79,13.91,13.21,12.99,13.4,8.4,7.87,9.08,9.47,10.46,10.78,10.31,9.83,10.13,10.09
Belgium,15.1,15.1,14.85,14.95,15,14.97,14.85,14.41,14.36,13.71,14.5,13.55,12.55,12.73,12.34
Belize,13.81,13.42,12.47,13.41,13.12,12.91,11.46,10.61,9.25,9.3,8.05,8.5,7.39,7.36,6.51
Benin,9.55,9.55,10.17,13.35,12.44,8.95,9.27,9.79,12.13,11.05,10.84,10.72,9.67,11.97,9.99
Bhutan,8.03,8.39,7.79,11.79,11.02,15.51,16.86,16.03,12.67,11.67,10.31,10.92,17.16,9.75,12.19
Bolivia (Plurinational State of),11.75,11.96,11.33,11.06,11.87,11.33,10.4,11.18,12.05,11.81,10.92,11.04,11.22,10.03,8.67
Bosnia and Herzegovina,14.11,14.11,14.71,14.43,13.67,13.73,11.48,10.97,11.11,10.54,10.31,10.08,8.58,9.4,11.33
Botswana,8.84,10.44,10.76,8.75,8.62,8.23,8.48,8.97,10.42,11.77,9.59,7.19,10.78,9.81,7.49
Brazil,6.78,7.05,6.86,8.24,9.9,6.06,5.99,5.4,5.17,4.98,5.15,4.41,5,4.75,4.08
Brunei Darussalam,6.47,6.38,6.07,6.27,6.29,6.7,6.69,6.27,6.26,6.88,6.87,7.58,5.59,6.55,6.26
Bulgaria,10.95,10.95,11.54,11.02,11.02,9.51,10.48,9.97,11.27,11.72,11.36,11.93,11.57,10.42,9
Burkina Faso,11.16,12.72,11.69,12.83,15.72,14.68,18.92,15.56,15.2,18.66,15.34,12.52,11.94,9.81,8.76
Burundi,13.19,14.02,14.06,13.58,13.47,8.14,8.15,9.7,12.81,11.22,8.81,5.08,7.89,7.94,7.13
Cabo Verde,11.73,9.15,9.63,10.02,8.66,9.87,9.91,11.1,11.29,10.35,12.15,11.82,11.3,11.88,9.89
Cambodia,6.13,6.82,7.26,6.82,7.24,6.55,7.12,9.14,9.54,13.12,17.25,15.34,9.01,8.62,8.91
Cameroon,4.26,4.62,5.46,6.42,8.53,7.34,5.57,6.77,7.41,7.67,7.07,8.2,7.94,6.79,6.09
Canada,18.77,18.57,18.57,18.4,18.23,18.12,18.01,17.84,17.58,17.5,17.24,16.64,16.12,15.47,15.07
Central African Republic,14.17,15.52,10.51,11.84,9.74,8.99,14.74,15.12,13.49,12.51,13.25,16.11,12.45,13.84,12.64
Chad,8.97,7.76,5.94,6.85,4.86,5.09,5.28,7.3,8.08,13.49,15.92,10.36,13.3,13.62,12.95
Chile,15.88,15.32,14.65,14.34,13.8,14.06,13.56,13.72,13.45,12.54,12.67,12.02,15.14,14.96,14.5
China,10.43,10.28,10.49,10.62,10.24,10.31,10.13,11.06,9.94,9.79,10,9.54,9.26,9.29,10.82
Colombia,18.14,18.14,18.87,20.55,18.1,18.29,18,16.7,16.44,15.71,15.38,18.6,16.72,16.88,19.3
Comoros,8.66,7.38,9.94,7.19,6.15,7.32,11.73,12.49,11.88,11.25,10.17,8.28,6.79,4.98,9.32
Congo,8.71,8.71,8.71,7.59,6.47,4.62,5.24,5.31,5.46,6.18,5.13,4.36,3.64,4.23,4.79
Cook Islands,6.12,7.88,8.38,8.35,10.29,10.34,12.91,12.49,9.51,13.2,11.82,9.26,9.54,13.03,10.15
Costa Rica,23.34,24.06,25.72,26.45,28.99,30.61,26.09,24.63,22.06,21.35,23.57,25.68,24.44,21.81,24.25
Côte d'Ivoire,7.35,8.2,8.52,8.87,8.22,8.49,7.48,7.54,7.66,6.99,7.73,7.39,7.62,8.04,10.03
Croatia,13.99,13.99,13.99,13.16,15.26,15.26,15.26,14.91,13.69,13.66,11.92,11.92,10.78,12.41,13.02
Cuba,18.01,14.15,11.55,15.1,13.87,14.93,13.18,14.48,11.21,13.73,10.32,10.89,11.18,11.39,10.8
Cyprus,7.58,7.58,7.46,7.58,7.42,7.16,6.77,6.24,6.26,6.17,6.63,6.92,6.89,6.45,6.48
Czechia,14.91,14.91,14.25,14.63,14.23,14.7,13.68,13.54,13.83,14.08,14.22,12.81,13.49,13.13,13.69
Democratic Republic of the Congo,11.06,9.28,11.6,7.16,7.81,18.69,12.66,9.89,8.32,6.18,4.95,10.74,2.44,2.79,1.78
Denmark,16.77,16.77,15.85,16.06,16.34,16.79,16.73,16.59,16.28,15.63,14.94,14.6,14.45,14.14,13.59
Djibouti,14.14,14.14,14.14,14.14,14.14,14.14,14.14,14.14,12.58,13.41,12.27,11.48,10.7,11.84,11.97
Dominica,10.47,10.58,9.62,12.16,10.59,9.98,8.68,8.24,10.67,7.94,8.22,7.89,9.09,8.5,6.64
Dominican Republic,17.36,15.54,14.36,14.65,12.19,11.87,9.6,10.61,9.02,7.87,7.54,12.35,12.15,11.88,15.86
Ecuador,10.23,8.76,7.32,6.6,7.09,6.63,4.63,5.45,5.07,5.62,5.88,7.47,8.58,7.53,5.08
Egypt,5.59,5.55,5.85,6.26,5.6,5.95,5.64,5.8,6.06,6.05,5.93,6.1,6.72,7.69,7.33
El Salvador,16.69,16.78,15.46,14.7,13.51,12.37,15.01,15.62,15.91,15.54,15.14,15.88,11.95,14.2,15.08
Equatorial Guinea,6.96,6.96,6.96,6.96,6.96,6.96,7.05,6.5,6.5,6.5,6.5,8.66,8.66,8.66,8.66
Eritrea,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.56,1.83,3.57,2.97,3.23,2.6,2.61
Estonia,13.54,13.54,12.99,12.3,12.31,11.66,11.88,11.48,10.94,11.47,11.42,10.85,10.45,10.97,11.3
Eswatini,16.58,19.7,18.07,18.07,15.42,14.32,14.53,12.48,14.88,12.95,10.48,12.26,9.89,9.99,10.54
Ethiopia,15.75,15.94,18.53,19.01,19.84,14.16,11.85,12.52,11.45,11.16,10.11,9.23,9.72,9.74,9.36
Fiji,9.25,9.67,9.49,9.23,10.7,10.08,10.94,10.23,10.39,10.76,10.32,8.95,9.12,8.67,11.32
Finland,12.35,12.32,12.42,12.25,12.08,12.29,12.71,12.73,12.76,12.36,11.98,11.79,11.55,11.14,10.64
France,15.69,15.62,15.53,15.61,15.38,15.41,15.42,15.54,15.57,15.63,15.62,15.4,15.57,15.32,15.18
Gabon,7.38,10.06,8.24,7.78,10.66,6.85,5.69,6.53,5.57,5.24,7.08,7.02,5.05,4.62,5.3
Gambia,15.31,15.31,12.39,14.48,14.55,14.7,18.56,18.6,14.17,13.05,11.66,12.87,8.66,8.23,10.37
Georgia,5,4.22,3.82,5.34,6.55,6.07,4.78,4.26,5.88,6.15,5.6,7.06,7.77,7.78,6.91
Germany,19.65,19.25,18.81,18.58,18.15,18.31,18.13,18.06,17.58,17.33,17.1,17.34,17.31,17.13,17.87
