iter	RMSE
0	63.25162933
1	57.08625966
2	51.50149578
3	46.47859582
4	41.94804781
5	37.83220729
6	34.15018315
7	30.86204013
8	27.86062399
9	25.15389943
10	22.7362624
11	20.54793652
12	18.60154621
13	16.87071265
14	15.29746033
15	13.86514082
16	12.55203303
17	11.43533359
18	10.43837012
19	9.5308863
20	8.677462761
21	7.902478134
22	7.213819132
23	6.604371317
24	6.084888519
25	5.614031126
26	5.21794368
27	4.861327638
28	4.503146343
29	4.17748815
30	3.941087105
31	3.691309837
32	3.50634726
33	3.291990361
34	3.100642459
35	2.942910436
36	2.811335313
37	2.691371075
38	2.58147831
39	2.493622708
40	2.393368257
41	2.312849855
42	2.23606088
43	2.197217099
44	2.135990883
45	2.095334587
46	2.051650767
47	2.018832585
48	1.988357254
49	1.976430768
50	1.956815816
51	1.929473756
52	1.910143677
53	1.892485277
54	1.869122431
55	1.839826656
56	1.83685994
57	1.829744553
58	1.816332388
59	1.798151528
60	1.794337154
61	1.781337827
62	1.763529614
63	1.746364957
64	1.73654464
65	1.73003715
66	1.713272985
67	1.70278528
68	1.695451936
69	1.688677439
70	1.678384357
71	1.676276093
72	1.674572632
73	1.673307627
74	1.673091552
75	1.665919616
76	1.653872567
77	1.648646254
78	1.646369791
79	1.63920905
80	1.633986455
81	1.6292233
82	1.615958213
83	1.612136529
84	1.601951217
85	1.601909745
86	1.587300759
87	1.571107477
88	1.569585135
89	1.564819737
90	1.563514507
91	1.55389407
92	1.552660267
93	1.550331235
94	1.546852552
95	1.546693542
96	1.54013102
97	1.540030546
98	1.537269453
99	1.537123767
100	1.537079506
101	1.536941856
102	1.535089844
103	1.533998717
104	1.529686742
105	1.521988744
106	1.512571072
107	1.51155524
108	1.511466203
109	1.511336934
110	1.509165095
111	1.509132359
112	1.508351334
113	1.500610411
114	1.498663322
115	1.487430897
116	1.485085862
117	1.482731595
118	1.481767349
119	1.473853685
120	1.472098487
121	1.472002446
122	1.471948321
123	1.469329159
124	1.467736766
125	1.466712799
126	1.465289534
127	1.462967547
128	1.461577202
129	1.459329898
130	1.4534477
131	1.452317242
132	1.450764898
133	1.450036839
134	1.449756318
135	1.447744079
136	1.44574022
137	1.432721298
138	1.432402778
139	1.432315054
140	1.432217898
141	1.425454815
142	1.423956178
143	1.422326849
144	1.422129789
145	1.421677895
146	1.41686794
147	1.41526053
148	1.414749788
149	1.413753479
150	1.412366965
151	1.410940826
152	1.409849922
153	1.409160445
154	1.409075259
155	1.408824788
156	1.40561113
157	1.405333603
158	1.403126235
159	1.402347803
160	1.401396849
161	1.400450745
162	1.399157592
163	1.397766182
164	1.396812549
165	1.394900497
166	1.38370594
167	1.383661629
168	1.382410532
169	1.382105497
170	1.378664319
171	1.373909054
172	1.373816532
173	1.373695346
174	1.370720934
175	1.370083942
176	1.370011458
177	1.369210604
178	1.369089725
179	1.368161244
180	1.368150784
