iter	Passed	Remaining
0	60	485012
1	64	257857
2	68	182356
3	72	145229
4	76	122219
5	79	105675
6	82	94195
7	85	85760
8	89	79691
9	92	73792
10	95	69002
11	97	64944
12	101	62316
13	106	60712
14	110	58655
15	113	56717
16	117	55333
17	121	53763
18	123	52072
19	126	50488
20	129	49047
21	132	48126
22	135	47020
23	138	45946
24	140	44767
25	142	43734
26	144	42791
27	148	42170
28	150	41412
29	153	40718
30	155	39964
31	157	39244
32	159	38568
33	162	37992
34	165	37667
35	168	37171
36	170	36672
37	172	36129
38	174	35652
39	177	35297
40	181	35224
41	183	34838
42	186	34468
43	188	34127
44	190	33751
45	193	33412
46	195	33118
47	198	32962
48	201	32674
49	204	32537
50	208	32450
51	212	32460
52	215	32315
53	219	32225
54	221	31976
55	223	31715
56	226	31591
57	229	31361
58	231	31117
59	233	30885
60	235	30666
61	237	30441
62	240	30260
63	242	30111
64	245	29934
65	247	29766
66	250	29659
67	252	29496
68	255	29343
69	258	29236
70	260	29071
71	262	28927
72	264	28753
73	267	28607
74	269	28439
75	271	28340
76	274	28196
77	276	28066
78	278	27933
79	280	27798
80	283	27692
81	285	27584
82	288	27502
83	291	27472
84	293	27363
85	296	27264
86	298	27142
87	300	27033
88	303	26969
89	306	26911
90	308	26801
91	310	26699
92	312	26588
93	314	26484
94	317	26382
95	319	26346
96	322	26252
97	327	26428
98	332	26543
99	337	26680
100	342	26748
101	345	26751
102	348	26725
103	353	26814
104	358	26946
105	361	26917
106	364	26882
107	367	26821
108	369	26767
109	372	26695
110	374	26610
111	376	26516
112	378	26427
113	381	26384
114	383	26309
115	385	26222
116	387	26140
117	390	26081
118	394	26111
119	398	26185
120	402	26179
121	405	26169
122	407	26117
123	409	26038
124	412	26007
125	415	25937
126	417	25864
127	419	25792
128	421	25727
129	423	25664
130	426	25594
131	428	25533
132	430	25473
133	432	25410
134	435	25368
135	437	25324
136	441	25336
137	445	25370
138	447	25312
139	449	25246
140	453	25279
141	455	25231
142	458	25204
143	461	25172
144	463	25114
145	465	25055
146	467	24996
147	470	24942
148	472	24891
149	475	24872
150	477	24824
151	481	24857
152	483	24816
153	487	24836
154	492	24912
155	494	24878
156	496	24825
157	499	24778
158	501	24738
159	504	24703
160	506	24669
161	508	24625
162	511	24582
163	513	24531
164	515	24484
165	517	24436
166	520	24412
167	523	24392
168	525	24341
169	527	24312
170	529	24264
171	532	24222
172	534	24183
173	537	24155
174	539	24126
175	542	24095
176	544	24079
177	546	24036
178	549	23995
179	551	23973
180	554	23936
181	556	23891
182	558	23852
183	560	23809
184	562	23769
185	565	23756
186	568	23738
187	570	23710
188	572	23675
